Genotype Pop Male2 Female2
ID59_sim Fam12 P24 P17
ID60_sim Fam12 P24 P17
ID61_sim Fam13 P24 P1
ID62_sim Fam13 P24 P1
ID63_sim Fam13 P24 P1
ID64_sim Fam13 P24 P1
ID65_sim Fam13 P24 P1
ID66_sim Fam14 P30 P17
ID67_sim Fam14 P30 P17
ID68_sim Fam14 P30 P17
ID69_sim Fam14 P30 P17
ID70_sim Fam14 P30 P17
ID71_sim Fam15 P22 P28
ID72_sim Fam15 P22 P28
ID73_sim Fam15 P22 P28
ID74_sim Fam15 P22 P28
ID75_sim Fam15 P22 P28
ID76_sim Fam16 P23 P11
ID77_sim Fam16 P23 P11
ID78_sim Fam16 P23 P11
ID79_sim Fam16 P23 P11
ID80_sim Fam16 P23 P11
ID81_sim Fam17 P27 P10
ID82_sim Fam17 P27 P10
ID83_sim Fam17 P27 P10
ID84_sim Fam17 P27 P10
ID85_sim Fam17 P27 P10
ID86_sim Fam18 P23 P10
ID87_sim Fam18 P23 P10
ID88_sim Fam18 P23 P10
ID89_sim Fam18 P23 P10
ID90_sim Fam18 P23 P10
ID91_sim Fam19 P27 P11
ID92_sim Fam19 P27 P11
ID93_sim Fam19 P27 P11
ID94_sim Fam19 P27 P11
ID95_sim Fam19 P27 P11
ID96_sim Fam20 P27 P12
ID97_sim Fam20 P27 P12
ID98_sim Fam20 P27 P12
ID99_sim Fam20 P27 P12
ID100_sim Fam20 P27 P12
ID101_sim Fam21 P21 P15
ID102_sim Fam21 P21 P15
ID103_sim Fam21 P21 P15
ID104_sim Fam21 P21 P15
ID105_sim Fam21 P21 P15
ID106_sim Fam22 P21 P28
ID107_sim Fam22 P21 P28
ID108_sim Fam22 P21 P28
ID109_sim Fam22 P21 P28
ID110_sim Fam22 P21 P28
ID111_sim Fam23 P2 P10
ID112_sim Fam23 P2 P10
ID113_sim Fam23 P2 P10
ID114_sim Fam23 P2 P10
ID115_sim Fam23 P2 P10
ID116_sim Fam24 P2 P11
ID117_sim Fam24 P2 P11
ID118_sim Fam24 P2 P11
ID119_sim Fam24 P2 P11
ID120_sim Fam24 P2 P11
ID121_sim Fam25 P2 P12
ID122_sim Fam25 P2 P12
ID123_sim Fam25 P2 P12
ID124_sim Fam25 P2 P12
ID125_sim Fam25 P2 P12
ID126_sim Fam26 P3 P11
ID127_sim Fam26 P3 P11
ID128_sim Fam26 P3 P11
ID129_sim Fam26 P3 P11
ID130_sim Fam26 P3 P11
ID131_sim Fam27 P3 P12
ID132_sim Fam27 P3 P12
ID133_sim Fam27 P3 P12
ID134_sim Fam27 P3 P12
ID135_sim Fam27 P3 P12
ID136_sim Fam28 P3 P10
ID137_sim Fam28 P3 P10
ID138_sim Fam28 P3 P10
ID139_sim Fam28 P3 P10
ID140_sim Fam28 P3 P10
ID141_sim Fam29 P3 P26
ID142_sim Fam29 P3 P26
ID143_sim Fam29 P3 P26
ID144_sim Fam29 P3 P26
ID145_sim Fam29 P3 P26
ID146_sim Fam30 P29 P14
ID147_sim Fam30 P29 P14
ID148_sim Fam30 P29 P14
ID149_sim Fam30 P29 P14
ID150_sim Fam30 P29 P14
ID151_sim Fam31 P3 P20
ID152_sim Fam31 P3 P20
ID153_sim Fam31 P3 P20
ID154_sim Fam31 P3 P20
ID155_sim Fam31 P3 P20
ID156_sim Fam32 P29 P19
ID157_sim Fam32 P29 P19
ID158_sim Fam32 P29 P19
ID159_sim Fam32 P29 P19
ID160_sim Fam32 P29 P19
ID161_sim Fam33 P29 P12
ID162_sim Fam33 P29 P12
ID163_sim Fam33 P29 P12
ID164_sim Fam33 P29 P12
ID165_sim Fam33 P29 P12
ID166_sim Fam34 P29 P13
ID167_sim Fam34 P29 P13
ID168_sim Fam34 P29 P13
ID169_sim Fam34 P29 P13
ID170_sim Fam34 P29 P13
ID171_sim Fam35 P29 P10
ID172_sim Fam35 P29 P10
ID173_sim Fam35 P29 P10
ID174_sim Fam35 P29 P10
ID175_sim Fam35 P29 P10
ID176_sim Fam36 P29 P3
ID177_sim Fam36 P29 P3
ID178_sim Fam36 P29 P3
ID179_sim Fam36 P29 P3
ID180_sim Fam36 P29 P3
